Display Name	Priority	Description
Diagram_Subpathway_Undiagrammed_Reactions		Human subpathways which do not have a diagram but are not embedded in the nearest ancestor pathway which has a diagram. The report lists the reactions which are not contained in the embedding diagram.
Diagram_Unsynchronized_Reactions		Diagrams with a drawn reaction out of synchronization with the one in the database.
Diagram_With_Unconnected_Entities	Blocker	Diagrams with entity nodes unconnected to any reaction.
Diagram_Wrong_Renderable_Class	Blocker	Pathway diagram renderables whose renderable class is inconsistent with the represented instance's schema class.
Disease_Entity_Inconsistent		Disesase Entity instances which are either empty or are not a disease reaction participant.
EHLD_Subpathway_Change_Check	Blocker	Pathways with at least one EHLD subpathway which differs between two databases.
Extra_Compartments_In_Entity_Set_Or_Members	High	EntitySets whose compartments differ from its members.
FailedReaction_Has_Output	Blocker	FailedReactions that have an output value.
InferredFrom_Used_In_Other_Attribute	High	"PhysicalEntities and Events whose inferredFrom value is also used as the value of another attribute, e.g. a human reaction has a mouse reaction as both its ""inferredFrom"" attribute and its ""precedingEvent"" attribute."
Instance_Duplication	High	Two different instances of the same class with the same values in their 'defining' attributes.
Instances_Without_StableIdentifier	Blocker	"StableIdentifier instances whose identifier is missing, unused, duplicated or referred to more than once."
Mandatory_Attributes	Blocker	Instances without a mandatory attribute value.
Multiple_Attributes_Cross_Classes_Missing_Simultaneously	High	"Instances missing values simultaneously in several specified attributes, both its own and through a reference, e.g. a ReactionlikeEvent missing inferredFrom, literatureReference and its Summation's literartureReference."
Multiple_Attributes_Missing_Simultaneously	High	"Instances missing values simultaneously in several of the instance's own specified attributes, e.g. a Person missing both firstname and initial."
New_Event_Inconsistent	High	"Previously unreleased Events missing both an inferredFrom and a literatureReference value (or new events missing editorial attributes, edited, reviewed, or authored)."
Normal_Entity_Inconsistent		Normal Entity instances which are either empty or are not a normal reaction participant.
One_Hop_Circular_Reference	Medium	"Instances with a cycle through one direct reference, i.e. instance A references another instance B which references A. Often, this is a Pathway A with a hasEvent instance B that specifies Pathway A as precedingEvent."
Orphan_Events	Blocker	Human non-chimeric events which are neither a top-level event nor contained by another event.
Pathway_Without_Diagram		Pathways without an associated diagram. A pathway is regarded as having an associated diagram if it has its own PathwayDiagram or its contained RLEs  are drawn in its ancestor pathway diagram.
PhysicalEntity_With_More_Than_One_Compartment	High	PhysicalEntities (other than sets) with more than one compartment specified.
PhysicalEntity_Without_Species_Components_With_Species	High	"PhysicalEntities (complex, set, polymer) with no species specified but with components having species specified."
PrecedingEvent_Output_Not_Used_In_Reaction	Medium	RLEs which don't use an output of a precedingEvent.
Reaction_Input_Output_Imbalance	High	Reactions whose input and output EWAS reference entities and residues do not match.
Reaction_Single_Input_Output_Schema_Mismatch	Medium	Reactions with only one input and one output but of differing schema class.
Reaction_Participants_Species_Mismatch	High	"Reactions whose species does not exactly equal the species of its participants. Both the ""species"" and ""relatedSpecies"" slot values are used."
ReactionlikeEvent_Not_Failed_With_Normal_Without_Disease	High	Non-failed RLEs with a normalReaction value but without a disease value.
Relations_Refer_To_Same_Instance	Medium	Instances with two attributes referring to the same instance for attributes which are not specified in other checks. WIll add an example in the future. None reported currently.
Required_Attributes		Instances without a required attribute value.
SimpleEntity_Has_Species	High	SimpleEntities with a species.
Species_in_Preceding_Event	High	Event and preceding event which don't share at least one species or relatedSpecies.
Species_Instance_Counts_Comparison		"The number of instances for each species between two databases, broken down by instance class."
Stable_Identifier_Version_Mismatch	High	Stable Identifiers whose version numbers differ between databases.
Two_Attributes_Refer_To_Same_Instance	High	"Instances with two specified attributes referring to the same instance, e.g. hasMember and hasCandidate."
